NAME,AUTHOR,PUBLICATION,STOCK,SALES,ID 
Book 1,Author 1,1990,100,20,1
Book 1,Author 1,1990,100,20,1
Book 1,Author 1,1990,100,20,1
Book 1,Author 1,1990,100,20,1
Book 1,Author 1,1990,100,20,1
Book 1,Author 1,1990,100,20,1
Book 1,Author 1,1990,100,20,1
Book 1,Author 1,1990,100,20,1
Book 1,Author 1,1990,100,20,1
Book 1,Author 1,1990,100,20,1
Book 1,Author 1,1990,100,20,1
Book 1,Author 1,1990,100,20,1
Book 1,Author 1,1990,100,20,1
Book 1,Author 1,1990,100,20,1
Book 1,Author 1,1990,100,20,1
Book 1,Author 1,1990,100,20,1
Book 1,Author 1,1990,100,20,1
Book 1,Author 1,1990,100,20,1
Book 1,Author 1,1990,100,20,1
Book 1,Author 1,1990,100,20,1
Book 1,Author 1,1990,100,20,1
Book 1,Author 1,1990,100,20,1
Book 1,Author 1,1990,100,20,1
